fuelbed,thin,herb,rxfire,eligibility_thinning,eligibility_herbicide,eligibility_rxfire,treatability_thinning,treatability_herbicide,treatability_rxfire,post_1,max_tslt,mfri_shortens,mfri_lengthens_1,mfri_lengthens_2,crown_fire,mfri_lower,mfri_upper,succession_post_1,succession_post_2,succession_max,probability_of_ignition
1052304,1052304,1052304,1052304,1,1,1,1,1,2,1051404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1052305,1052305,1052305,1052305,1,1,1,1,1,2,1051405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1052306,1052306,1052306,1052306,1,1,1,1,1,2,1051406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1052401,1052401,1052401,1052401,1,1,1,1,1,1,1051401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1052402,1052402,1052402,1052402,1,1,1,1,1,1,1051402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1052403,1052403,1052403,1052403,1,1,1,1,1,1,1051403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1052404,1052404,1052404,1052404,1,1,1,1,1,1,1051404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1052405,1052405,1052405,1052405,1,1,1,1,1,1,1051405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1052406,1052406,1052406,1052406,1,1,1,1,1,1,1051406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1053101,1053101,1053101,1053101,1,1,2,1,1,2,1051401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1053102,1053102,1053102,1053102,1,1,2,1,1,2,1051402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1053103,1053103,1053103,1053103,1,1,2,1,1,2,1051403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1053104,1053104,1053104,1053104,1,1,2,1,1,2,1051404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1053105,1053105,1053105,1053105,1,1,2,1,1,2,1051405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1053106,1053106,1053106,1053106,1,1,2,1,1,2,1051406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1053201,1053201,1053201,1053201,1,1,2,1,1,2,1051401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1053202,1053202,1053202,1053202,1,1,2,1,1,2,1051402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1053203,1053203,1053203,1053203,1,1,2,1,1,2,1051403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
1053204,1053204,1053204,1053204,1,1,2,1,1,2,1051404,0,-2,-2,-2,-2,0,0,-2,-2,60,0.0001
1053205,1053205,1053205,1053205,1,1,2,1,1,2,1051405,0,-2,-2,-2,-2,0,0,-2,-2,100,0.0001
1053206,1053206,1053206,1053206,1,1,2,1,1,2,1051406,0,-2,-2,-2,-2,0,0,-2,-2,999999999,0.0001
1053301,1053301,1053301,1053301,1,1,1,1,1,2,1051401,0,-2,-2,-2,-2,0,0,-2,-2,10,0.0001
1053302,1053302,1053302,1053302,1,1,1,1,1,2,1051402,0,-2,-2,-2,-2,0,0,-2,-2,20,0.0001
1053303,1053303,1053303,1053303,1,1,1,1,1,2,1051403,0,-2,-2,-2,-2,0,0,-2,-2,40,0.0001
